line_text,category,style,context,stage,target_gender,source_type,quality_score,success_rate,has_emoji,has_question,has_compliment
"Kama ni kukosa microscope slide, ningeku-examine closely.",cheesy,kenyan,opening,initial,female,manual_entry,3.2,0.55,0,0,0
"Wewe ni kama petri dish - unagrow culture of love.",smooth,kenyan,compliment,initial,female,manual_entry,4.0,0.7,0,0,1
"Nimeku-save as specimen, because you're one of a kind.",romantic,mixed,response,advanced,female,manual_entry,4.5,0.76,0,0,1
"Sema nikiku-label, uta-be mine?",playful,sheng,opening,initial,female,manual_entry,4.1,0.7,0,1,0
"Unajua hata kama uta-refuse label, bado nita-catalog you as perfect.",bold,sheng,response,middle,female,manual_entry,3.8,0.67,0,0,0
"Kama ni kukosa centrifuge, ningeku-separate from distractions.",cheesy,kenyan,opening,initial,female,manual_entry,3.5,0.58,0,0,0
"Wewe ni kama magnet - unanivutia naturally.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.73,0,0,1
"Nimeku-save as reagent, because you react with my heart.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.8,0,0,1
"Ukinitaka niku-titrate, because you're worth precise measurement.",romantic,mixed,followup,advanced,female,manual_entry,4.4,0.75,0,0,1
"Wewe ni kama Kenyan wildlife - natural na majestic.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.83,0,0,1
"Nimeku-save as control, because you're my standard for perfection.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.87,0,0,1
"Unajua hata kama uta-be outlier, bado nita-include you in my data set.",bold,sheng,followup,advanced,female,manual_entry,3.9,0.69,0,0,0
"Kama ni kukosa pipette, ningeku-transfer to my heart.",cheesy,kenyan,opening,initial,female,manual_entry,3.6,0.59,0,0,0
"Wewe ni kama graduated cylinder - unanifanya measure my feelings accurately.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.75,0,0,1
"Nimeku-save as compound, because we're better together.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Sema nikiku-add kwa reaction, uta-react positively?",playful,sheng,opening,initial,female,manual_entry,4.2,0.71,0,1,0
"Unajua hata kama uta-be inert, bado nita-activate you.",bold,sheng,response,middle,female,manual_entry,3.7,0.64,0,0,0
"Kama ni kukosa balance, ningeku-weigh against gold.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.61,0,0,0
"Wewe ni kama pH paper - unanifanya determine my mood is always positive.",smooth,kenyan,compliment,initial,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-save as element, because you're fundamental to my happiness.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.86,0,0,1
"Ukinitaka niku-purify, because you're already pure gold.",romantic,mixed,followup,advanced,female,manual_entry,4.6,0.79,0,0,1
"Wewe ni kama Kenyan gem - rare na valuable.",romantic,kenyan,compliment,initial,female,manual_entry,4.7,0.8,0,0,1
"Nimeku-save as mixture, because you blend perfectly with my life.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.84,0,0,1
"Unajua hata kama uta-separate, bado nita-find way to combine.",bold,sheng,followup,advanced,female,manual_entry,4.0,0.72,0,0,0
"Kama ni kukosa filter, ningeku-filter out all bad vibes.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.62,0,0,0
"Wewe ni kama distillation - unanifanya focus on pure you.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.71,0,0,1
"Nimeku-save as precipitate, because you stand out in my life.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.78,0,0,1
"Sema nikiku-use as reference, uta-be my standard?",playful,sheng,opening,initial,female,manual_entry,4.3,0.73,0,1,0
"Unajua hata kama uta-be unstable, bado nita-stabilize you.",bold,sheng,response,middle,female,manual_entry,3.8,0.66,0,0,0
"Kama ni kukosa chromatography paper, ningeku-separate from others clearly.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.6,0,0,0
"Wewe ni kama indicator - unanifanya know when I'm in love.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.72,0,0,1
"Nimeku-save as solvent, because you dissolve my worries.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.81,0,0,1
"Ukinitaka niku-dilute, but why dilute perfection?",romantic,mixed,followup,advanced,female,manual_entry,4.4,0.76,0,0,1
"Wewe ni kama Kenyan artifact - precious na historical.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.83,0,0,1
"Nimeku-save as concentration, because you're always on my mind.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.88,0,0,1
"Unajua hata kama uta-be dilute, bado nita-concentrate on you.",bold,sheng,followup,advanced,female,manual_entry,3.9,0.7,0,0,0
"Kama ni kukosa spectrometer, ningeku-analyze spectrum of your beauty.",cheesy,kenyan,opening,initial,female,manual_entry,3.5,0.58,0,0,0
"Wewe ni kama catalyst - unanifanya everything happen faster.",smooth,kenyan,compliment,initial,female,manual_entry,4.0,0.7,0,0,1
"Nimeku-save as equation, because you balance my life.",romantic,mixed,response,advanced,female,manual_entry,4.5,0.77,0,0,1
"Sema nikiku-add kwa formula, uta-complete me?",playful,sheng,opening,initial,female,manual_entry,4.1,0.71,0,1,0
"Unajua hata kama uta-be variable, bado nita-solve for you.",bold,sheng,response,middle,female,manual_entry,3.6,0.64,0,0,0
"Kama ni kukosta calorimeter, ningeku-measure heat of my feelings.",cheesy,kenyan,opening,initial,female,manual_entry,3.4,0.57,0,0,0
"Wewe ni kama energy - unanifanya move towards you.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.74,0,0,1
"Nimeku-save as force, because you attract me naturally.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Ukinitaka niku-accelerate, because you're worth moving fast for.",romantic,mixed,followup,advanced,female,manual_entry,4.6,0.79,0,0,1
"Wewe ni kama Kenyan landscape - diverse na beautiful.",romantic,kenyan,compliment,initial,female,manual_entry,4.7,0.8,0,0,1
"Nimeku-save as momentum, because you keep me going.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.87,0,0,1
"Unajua hata kama uta-be friction, bado nita-overcome for you.",bold,sheng,followup,advanced,female,manual_entry,4.0,0.73,0,0,0
"Kama ni kukosa thermometer, ningeku-measure temperature of my affection.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.61,0,0,0
"Wewe ni kama velocity - unanifanya move in your direction.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.75,0,0,1
"Nimeku-save as acceleration, because you speed up my heart.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.81,0,0,1
"Sema nikiku-calculate, uta-be my constant?",playful,sheng,opening,initial,female,manual_entry,4.2,0.72,0,1,0
"Unajua hata kama uta-be derivative, bado nita-integrate you into my life.",bold,sheng,response,middle,female,manual_entry,3.7,0.65,0,0,0
"Kama ni kukosta barometer, ningeku-measure pressure of my love.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.63,0,0,0
"Wewe ni kama gravity - unanivutia constantly.",smooth,kenyan,compliment,initial,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-save as mass, because you have substance in my life.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.83,0,0,1
"Ukinitaka niku-project, because I see you in my future.",romantic,mixed,followup,advanced,female,manual_entry,4.3,0.75,0,0,1
"Wewe ni kama Kenyan constellation - shining bright in my sky.",romantic,kenyan,compliment,initial,female,manual_entry,4.9,0.85,0,0,1
"Nimeku-save as vector, because you have direction in my life.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.89,0,0,1
"Unajua hata kama uta-be scalar, bado nita-give you direction.",bold,sheng,followup,advanced,female,manual_entry,4.1,0.74,0,0,0
"Kama ni kukosta anemometer, ningeku-measure wind of your influence.",cheesy,kenyan,opening,initial,female,manual_entry,3.6,0.59,0,0,0
"Wewe ni kama inertia - unanifanya resist change from you.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.73,0,0,1
"Nimeku-save as work, because you're worth the effort.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.78,0,0,1
"Sema nikiku-power, uta-light up my life?",playful,sheng,opening,initial,female,manual_entry,4.0,0.7,0,1,0
"Unajua hata kama uta-be resistance, bado nita-current flow to you.",bold,sheng,response,middle,female,manual_entry,3.8,0.67,0,0,0
"Kama ni kukosta voltmeter, ningeku-measure voltage of my attraction.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.6,0,0,0
"Wewe ni kama circuit - unanifanya complete my life.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.74,0,0,1
"Nimeku-save as energy, because you power my days.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.8,0,0,1
"Ukinitaka niku-conduct, because you're excellent conductor of love.",romantic,mixed,followup,advanced,female,manual_entry,4.4,0.76,0,0,1
"Wewe ni kama Kenyan electricity - essential na powerful.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.84,0,0,1
"Nimeku-save as charge, because you're positively attractive.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.88,0,0,1
"Unajua hata kama uta-be insulator, bado nita-find way to connect.",bold,sheng,followup,advanced,female,manual_entry,4.2,0.75,0,0,0
"Kama ni kukosta oscilloscope, ningeku-measure frequency of my thoughts about you.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.62,0,0,0
"Wewe ni kama magnet - unanivutia pole to pole.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.71,0,0,1
"Nimeku-save as field, because you influence my space.",romantic,mixed,response,advanced,female,manual_entry,4.5,0.77,0,0,1
"Sema nikiku-transform, uta-change my life?",playful,sheng,opening,initial,female,manual_entry,4.3,0.73,0,1,0
"Unajua hata kama uta-be transformer, bado nita-adapt to you.",bold,sheng,response,middle,female,manual_entry,3.9,0.68,0,0,0
"Kama ni kukosta generator, ningeku-generate happiness with you.",cheesy,kenyan,opening,initial,female,manual_entry,3.5,0.58,0,0,0
"Wewe ni kama motor - unanifanya move forward.",smooth,kenyan,compliment,initial,female,manual_entry,4.0,0.7,0,0,1
"Nimeku-save as current, because you flow through my thoughts.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.79,0,0,1
"Ukinitaka niku-amplify, because you deserve to be heard.",romantic,mixed,followup,advanced,female,manual_entry,4.7,0.81,0,0,1
"Wewe ni kama Kenyan power grid - connecting everything important.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.85,0,0,1
"Nimeku-save as signal, because you're clear in my life.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.9,0,0,1
"Unajua hata kama uta-be noise, bado nita-filter for your frequency.",bold,sheng,followup,advanced,female,manual_entry,4.3,0.76,0,0,0
"Kama ni kukosta transistor, ningeku-amplify in my heart.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.64,0,0,0
"Wewe ni kama diode - unanifanya flow in one direction: towards you.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.75,0,0,1
"Nimeku-save as capacitor, because you store my affection.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.83,0,0,1
"Sema nikiku-resonate, uta-vibrate with me?",playful,sheng,opening,initial,female,manual_entry,4.2,0.72,0,1,0
"Unajua hata kama uta-be inductor, bado nita-store energy for you.",bold,sheng,response,middle,female,manual_entry,4.0,0.71,0,0,0
"Kama ni kukosta relay, ningeku-switch to priority.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.61,0,0,0
"Wewe ni kama fuse - unanifanya protect my heart.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.73,0,0,1
"Nimeku-save as battery, because you recharge me.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.82,0,0,1
"Ukinitaka niku-connect in series, so we're always together.",romantic,mixed,followup,advanced,female,manual_entry,4.5,0.78,0,0,1
"Wewe ni kama Kenyan circuit board - complex na beautiful.",romantic,kenyan,compliment,initial,female,manual_entry,4.9,0.86,0,0,1
"Nimeku-save as semiconductor, because you conduct my love.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.91,0,0,1
"Unajua hata kama uta-be resistor, bado nita-overcome resistance for you.",bold,sheng,followup,advanced,female,manual_entry,4.4,0.77,0,0,0
"Kama ni kukosta multimeter, ningeku-measure all aspects of my love.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.63,0,0,0
"Wewe ni kama antenna - unanifanya receive signals of affection.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.74,0,0,1
"Nimeku-save as transmitter, because I want to send love to you.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.8,0,0,1
"Sema nikiku-tune, uta-be on my frequency?",playful,sheng,opening,initial,female,manual_entry,4.1,0.71,0,1,0
"Unajua hata kama uta-be receiver, bado nita-transmit to you.",bold,sheng,response,middle,female,manual_entry,4.2,0.74,0,0,0
"Kama ni kukosta modulator, ningeku-modulate with my feelings.",cheesy,kenyan,opening,initial,female,manual_entry,3.6,0.6,0,0,0
"Wewe ni kama demodulator - unanifanya extract meaning from life.",smooth,kenyan,compliment,initial,female,manual_entry,4.0,0.71,0,0,1
"Nimeku-save as amplifier, because you make everything better.",romantic,mixed,response,advanced,female,manual_entry,4.5,0.77,0,0,1
"Ukinitaka niku-attenuate, but why reduce perfection?",romantic,mixed,followup,advanced,female,manual_entry,4.7,0.82,0,0,1
"Wewe ni kama Kenyan broadcast - reaching everywhere important.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.85,0,0,1
"Nimeku-save as channel, because you're my preferred frequency.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.92,0,0,1
"Unajua hata kama uta-be bandwidth, bado nita-allocate all to you.",bold,sheng,followup,advanced,female,manual_entry,4.5,0.78,0,0,0
"Kama ni kukosta spectrum analyzer, ningeku-analyze range of your beauty.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.65,0,0,0
"Wewe ni kama filter - unanifanya focus on what matters.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.72,0,0,1
"Nimeku-save as oscillator, because you create rhythm in my life.",romantic,mixed,response,advanced,female,manual_entry,4.4,0.76,0,0,1
"Sema nikiku-mix, uta-blend with my life?",playful,sheng,opening,initial,female,manual_entry,4.3,0.74,0,1,0
"Unajua hata kama uta-be mixer, bado nita-combine with you.",bold,sheng,response,middle,female,manual_entry,4.1,0.73,0,0,0
"Kama ni kukosta synthesizer, ningeku-synthesize perfect relationship.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.62,0,0,0
"Wewe ni kama equalizer - unanifanya balance my emotions.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.73,0,0,1
"Nimeku-save as decoder, because you understand me.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.79,0,0,1
"Ukinitaka niku-encode, because you're worth protecting.",romantic,mixed,followup,advanced,female,manual_entry,4.8,0.84,0,0,1
"Wewe ni kama Kenyan frequency - unique na special.",romantic,kenyan,compliment,initial,female,manual_entry,4.9,0.87,0,0,1
"Nimeku-save as protocol, because you're my standard for communication.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.93,0,0,1
"Unajua hata kama uta-be packet, bado nita-route to my heart.",bold,sheng,followup,advanced,female,manual_entry,4.6,0.79,0,0,0
"Kama ni kukosta router, ningeku-route all attention to you.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.64,0,0,0
"Wewe ni kama switch - unanifanya connect to happiness.",smooth,kenyan,compliment,initial,female,manual_entry,4.0,0.72,0,0,1
"Nimeku-save as hub, because you're central to my network.",romantic,mixed,response,advanced,female,manual_entry,4.3,0.75,0,0,1
"Sema nikiku-ping, uta-respond?",playful,sheng,opening,initial,female,manual_entry,4.2,0.73,0,1,0
"Unajua hata kama uta-be firewall, bado nita-find port to your heart.",bold,sheng,response,middle,female,manual_entry,4.3,0.76,0,0,0
"Kama ni kukosta server, ningeku-host my feelings.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.66,0,0,0
"Wewe ni kama client - unanifanya request my attention.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.73,0,0,1
"Nimeku-save as domain, because you're where I want to be.",romantic,mixed,response,advanced,female,manual_entry,4.5,0.78,0,0,1
"Ukinitaka niku-dns resolve, because I want to find you always.",romantic,mixed,followup,advanced,female,manual_entry,4.7,0.83,0,0,1
"Wewe ni kama Kenyan internet - connecting me to happiness.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.86,0,0,1
"Nimeku-save as ip address, because you're unique in my network.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.94,0,0,1
"Unajua hata kama uta-be subnet, bado nita-be in same network.",bold,sheng,followup,advanced,female,manual_entry,4.7,0.8,0,0,0
"Kama ni kukosta gateway, ningeku-gateway to my heart.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.63,0,0,0
"Wewe ni kama protocol - unanifanya communicate effectively.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.74,0,0,1
"Nimeku-save as port, because you're where I connect.",romantic,mixed,response,advanced,female,manual_entry,4.4,0.77,0,0,1
"Sema nikiku-socket connect, uta-accept connection?",playful,sheng,opening,initial,female,manual_entry,4.1,0.72,0,1,0
"Unajua hata kama uta-be socket, bado nita-plug into you.",bold,sheng,response,middle,female,manual_entry,4.4,0.77,0,0,0
"Kama ni kukosta bandwidth, ningeku-allocate all my attention.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.65,0,0,0
"Wewe ni kama latency - unanifanya wait eagerly for you.",smooth,kenyan,compliment,initial,female,manual_entry,4.0,0.73,0,0,1
"Nimeku-save as throughput, because you handle my affection well.",romantic,mixed,response,advanced,female,manual_entry,4.3,0.76,0,0,1
"Ukinitaka niku-queue, because I'll wait for you.",romantic,mixed,followup,advanced,female,manual_entry,4.6,0.81,0,0,1
"Wewe ni kama Kenyan data center - storing my memories of you.",romantic,kenyan,compliment,initial,female,manual_entry,4.9,0.88,0,0,1
"Nimeku-save as cache, because you're frequently accessed in my thoughts.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.95,0,0,1
"Unajua hata kama uta-be buffer, bado nita-fill you with love.",bold,sheng,followup,advanced,female,manual_entry,4.8,0.82,0,0,0
"Kama ni kukosta registry, ningeku-register in my heart.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.67,0,0,0
"Wewe ni kama database - unanifanya store important information.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.74,0,0,1
"Nimeku-save as table, because you're structured in my life.",romantic,mixed,response,advanced,female,manual_entry,4.2,0.75,0,0,1
"Sema nikiku-query, uta-return positive results?",playful,sheng,opening,initial,female,manual_entry,4.3,0.75,0,1,0
"Unajua hata kama uta-be record, bado nita-insert you into my life.",bold,sheng,response,middle,female,manual_entry,4.5,0.78,0,0,0
"Kama ni kukosta index, ningeku-index for quick access.",cheesy,kenyan,opening,initial,female,manual_entry,3.6,0.62,0,0,0
"Wewe ni kama key - unanifanya unlock my happiness.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.76,0,0,1
"Nimeku-save as schema, because you define my structure.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.8,0,0,1
"Ukinitaka niku-normalize, but you're already perfect form.",romantic,mixed,followup,advanced,female,manual_entry,4.8,0.85,0,0,1
"Wewe ni kama Kenyan algorithm - efficient na effective.",romantic,kenyan,compliment,initial,female,manual_entry,4.9,0.89,0,0,1
"Nimeku-save as transaction, because you're worth committing to.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.96,0,0,1
"Unajua hata kama uta-be rollback, bado nita-commit to you.",bold,sheng,followup,advanced,female,manual_entry,4.9,0.83,0,0,0
"Kama ni kukosta join, ningeku-join with my life.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.64,0,0,0
"Wewe ni kama view - unanifanya see life beautifully.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.75,0,0,1
"Nimeku-save as trigger, because you activate my feelings.",romantic,mixed,response,advanced,female,manual_entry,4.5,0.79,0,0,1
"Sema nikiku-procedure call, uta-execute with me?",playful,sheng,opening,initial,female,manual_entry,4.4,0.76,0,1,0
"Unajua hata kama uta-be function, bado nita-pass parameters of love.",bold,sheng,response,middle,female,manual_entry,4.6,0.79,0,0,0
"Kama ni kukosta cursor, ningeku-point to my heart.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.66,0,0,0
"Wewe ni kama pointer - unanifanya reference happiness.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.77,0,0,1
"Nimeku-save as array, because you're collection of perfection.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.82,0,0,1
"Ukinitaka niku-sort, but you're already first in my list.",romantic,mixed,followup,advanced,female,manual_entry,4.9,0.86,0,0,1
"Wewe ni kama Kenyan data structure - organized na efficient.",romantic,kenyan,compliment,initial,female,manual_entry,5.0,0.9,0,0,1
"Nimeku-save as stack, because you're last in, first in my thoughts.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.97,0,0,1
"Unajua hata kama uta-be queue, bado nita-wait in line for you.",bold,sheng,followup,advanced,female,manual_entry,5.0,0.84,0,0,0
"Kama ni kukosta linked list, ningeku-link to my life.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.68,0,0,0
"Wewe ni kama tree - unanifanya branch into happiness.",smooth,kenyan,compliment,initial,female,manual_entry,4.5,0.78,0,0,1
"Nimeku-save as graph, because you plot my happiness.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.83,0,0,1
"Sema nikiku-traverse, uta-allow me to explore you?",playful,sheng,opening,initial,female,manual_entry,4.6,0.77,0,1,0
"Unajua hata kama uta-be hash table, bado nita-find you quickly.",bold,sheng,response,middle,female,manual_entry,4.7,0.8,0,0,0
"Kama ni kukosta heap, ningeku-prioritize in my life.",cheesy,kenyan,opening,initial,female,manual_entry,4.0,0.69,0,0,0
"Wewe ni kama set - unanifanya eliminate duplicates of happiness.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.79,0,0,1
"Nimeku-save as map, because you guide me to joy.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.84,0,0,1
"Ukinitaka niku-iterate, because each time is better.",romantic,mixed,followup,advanced,female,manual_entry,5.0,0.87,0,0,1
"Wewe ni kama Kenyan binary tree - balanced na perfect.",romantic,kenyan,compliment,initial,female,manual_entry,5.0,0.91,0,0,1
"Nimeku-save as recursion, because you call to me repeatedly.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.98,0,0,1
"Unajua hata kama uta-be base case, bado nita-recurse for you.",bold,sheng,followup,advanced,female,manual_entry,5.0,0.85,0,0,0
"Kama ni kukosta algorithm, ningeku-solve for happiness.",cheesy,kenyan,opening,initial,female,manual_entry,4.1,0.7,0,0,0
"Wewe ni kama complexity - unanifanya analyze deeply.",smooth,kenyan,compliment,initial,female,manual_entry,4.6,0.8,0,0,1
"Nimeku-save as optimization, because you're my best solution.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.85,0,0,1
"Sema nikiku-compile, uta-run with me?",playful,sheng,opening,initial,female,manual_entry,4.7,0.78,0,1,0
"Unajua hata kama uta-be syntax error, bado nita-debug for you.",bold,sheng,response,middle,female,manual_entry,4.8,0.81,0,0,0
"Kama ni kukosta compiler, ningeku-compile into my life.",cheesy,kenyan,opening,initial,female,manual_entry,4.2,0.71,0,0,0
"Wewe ni kama interpreter - unanifanya understand my code of love.",smooth,kenyan,compliment,initial,female,manual_entry,4.7,0.81,0,0,1
"Nimeku-save as variable, because you change my life positively.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.86,0,0,1
"Ukinitaka niku-initialize, because you're starting point of my happiness.",romantic,mixed,followup,advanced,female,manual_entry,5.0,0.88,0,0,1
"Wewe ni kama Kenyan software - reliable na user-friendly.",romantic,kenyan,compliment,initial,female,manual_entry,5.0,0.92,0,0,1
"Nimeku-save as constant, because you're unchanging in my life.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.99,0,0,1
"Unajua hata kama uta-be null, bado nita-assign value to you.",bold,sheng,followup,advanced,female,manual_entry,5.0,0.86,0,0,0
"Kama ni kukosta loop, ningeku-loop in my thoughts.",cheesy,kenyan,opening,initial,female,manual_entry,4.3,0.72,0,0,0
"Wewe ni kama condition - unanifanya decide my happiness.",smooth,kenyan,compliment,initial,female,manual_entry,4.8,0.82,0,0,1
"Nimeku-save as function, because you return love.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.87,0,0,1
"Sema nikiku-call, uta-respond with affection?",playful,sheng,opening,initial,female,manual_entry,4.9,0.79,0,1,0
"Unajua hata kama uta-be parameter, bado nita-pass my love to you.",bold,sheng,response,middle,female,manual_entry,5.0,0.82,0,0,0
"Kama ni kukosta return statement, ningeku-return my heart.",cheesy,kenyan,opening,initial,female,manual_entry,4.4,0.73,0,0,0
"Wewe ni kama class - unanifanya objectify perfection.",smooth,kenyan,compliment,initial,female,manual_entry,5.0,0.83,0,0,1
"Nimeku-save as object, because you're instance of beauty.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.88,0,0,1
"Ukinitaka niku-inherit, because you have qualities I admire.",romantic,mixed,followup,advanced,female,manual_entry,5.0,0.89,0,0,1
"Wewe ni kama Kenyan framework - supporting my happiness.",romantic,kenyan,compliment,initial,female,manual_entry,5.0,0.93,0,0,1
"Nimeku-save as library, because you're collection of wonderful traits.",romantic,mixed,response,advanced,female,manual_entry,5.0,1.0,0,0,1
"Unajua hata kama uta-be dependency, bado nita-include you always.",bold,sheng,followup,advanced,female,manual_entry,5.0,0.87,0,0,0
"Kama ni kukosta module, ningeku-import into my life.",cheesy,kenyan,opening,initial,female,manual_entry,4.5,0.74,0,0,0
"Wewe ni kama package - unanifanya contain everything good.",smooth,kenyan,compliment,initial,female,manual_entry,5.0,0.84,0,0,1
"Nimeku-save as namespace, because you're unique in my world.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.89,0,0,1
"Sema nikiku-require, uta-be essential in my life?",playful,sheng,opening,initial,female,manual_entry,5.0,0.8,0,1,0
"Unajua hata kama uta-be import error, bado nita-find way to include you.",bold,sheng,response,middle,female,manual_entry,5.0,0.83,0,0,0
"Kama ni kukosta export, ningeku-export my love to you.",cheesy,kenyan,opening,initial,female,manual_entry,4.6,0.75,0,0,0
"Wewe ni kama interface - unanifanya interact beautifully.",smooth,kenyan,compliment,initial,female,manual_entry,5.0,0.85,0,0,1
"Nimeku-save as implementation, because you realize my dreams.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.9,0,0,1
"Ukinitaka niku-abstract, but you're already perfect concept.",romantic,mixed,followup,advanced,female,manual_entry,5.0,0.9,0,0,1
"Wewe ni kama Kenyan SDK - giving me tools for happiness.",romantic,kenyan,compliment,initial,female,manual_entry,5.0,0.94,0,0,1
"Nimeku-save as API, because you're how I access joy.",romantic,mixed,response,advanced,female,manual_entry,5.0,1.0,0,0,1
"Unajua hata kama uta-be endpoint, bado nita-send requests to you.",bold,sheng,followup,advanced,female,manual_entry,5.0,0.88,0,0,0
"Kama ni kukosta request, ningeku-request your attention.",cheesy,kenyan,opening,initial,female,manual_entry,4.7,0.76,0,0,0
"Wewe ni kama response - unanifanya answer my prayers.",smooth,kenyan,compliment,initial,female,manual_entry,5.0,0.86,0,0,1
"Nimeku-save as status code, because you're 200 OK in my life.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.91,0,0,1
"Sema nikiku-headers set, uta-accept my love?",playful,sheng,opening,initial,female,manual_entry,5.0,0.81,0,1,0
"Unajua hata kama uta-be 404, bado nita-search for you.",bold,sheng,response,middle,female,manual_entry,5.0,0.84,0,0,0
"Kama ni kukosta 500 error, ningeku-debug my feelings.",cheesy,kenyan,opening,initial,female,manual_entry,4.8,0.77,0,0,0
"Wewe ni kama 200 - unanifanya everything work perfectly.",smooth,kenyan,compliment,initial,female,manual_entry,5.0,0.87,0,0,1
"Nimeku-save as cookie, because you're sweet memory.",romantic,mixed,response,advanced,female,manual_entry,5.0,0.92,0,0,1
