line_text,category,style,context,stage,target_gender,quality_score,originality_score
"Wewe ni kama Thika Road - nimekuwa stuck kwako kwa masaa.",funny,kenyan,opening,initial,female,4.30,0.72
"Unaitwa nini? Ata nikiita support, system inasema you're my missing component.",clever,mixed,opening,initial,female,4.50,0.78
"Kama unataka kunitest, basi niku-test mwenyewe.",direct,sheng,response,advanced,female,4.20,0.68
"Nimeku-search Google, YouTube, na hata Jumia, but haukupatikani.",playful,kenyan,opening,initial,female,4.40,0.74
"Hata ukini-block, bado nita-request kufollow tena.",bold,sheng,followup,middle,female,3.90,0.63
"Unajua unaweza kuwa na million followers, but I'll be your one like.",romantic,mixed,response,middle,female,4.60,0.77
"Kama ni kukosa credit, ningeku-send airtime daily.",cheesy,kenyan,opening,initial,female,3.70,0.58
"Wewe ni kama Safaricom - The better option.",smooth,kenyan,compliment,initial,female,4.30,0.71
"Nimeku-add kwa contacts, now you're my favorite person.",playful,mixed,followup,middle,neutral,4.10,0.69
"Ukinitaka niku-screenshot, because you're worth saving.",romantic,mixed,response,middle,female,4.50,0.76
"Kama unajua kunyimwa lift, hio ndio nafsi yangu right now.",funny,sheng,opening,initial,female,4.00,0.70
"Nimeku-save kwa speed dial, because emergencies happen.",playful,mixed,response,middle,female,4.20,0.72
"Uko na WiFi? Kwa maana sina connection mingine.",cheesy,kenyan,opening,initial,female,3.80,0.61
"Nimeku-favorite kama WhatsApp message.",smooth,mixed,response,middle,female,4.30,0.73
"Ukinitaka niku-download, because offline is boring.",playful,mixed,followup,middle,female,4.10,0.68
"Wewe ni kama M-Pesa - convenient na reliable.",smooth,kenyan,compliment,initial,female,4.40,0.75
"Nimeku-bookmark kwa maana sikutaki kupotea.",romantic,mixed,response,middle,female,4.50,0.77
"Kama ni kukosa data, ningeku-stream offline.",cheesy,kenyan,opening,initial,female,3.60,0.59
"Wewe ni kama Uber - you take me places.",smooth,kenyan,compliment,initial,female,4.20,0.70
"Nimeku-star kama important email.",playful,mixed,response,middle,female,4.00,0.67
"Ukinitaka niku-sync, because being apart is outdated.",clever,mixed,followup,advanced,female,4.30,0.72
"Wewe ni kama Nairobi sun - impossible to ignore.",romantic,kenyan,compliment,initial,female,4.60,0.78
"Nimeku-pin kwa top conversations.",playful,mixed,response,middle,neutral,4.10,0.69
"Kama ni kukosa mboga, ningeku-pea kila siku.",cheesy,kenyan,opening,initial,female,3.50,0.57
"Wewe ni kama Kenyan tea - sweet na refreshing.",smooth,kenyan,compliment,initial,female,4.30,0.74
"Nimeku-mute the world, because your volume is enough.",romantic,mixed,response,advanced,female,4.70,0.79
"Ukinitaka niku-share, because you're too good to keep.",playful,mixed,followup,middle,female,4.20,0.70
"Wewe ni kama matatu ya Thika Road - always on my mind.",funny,kenyan,opening,initial,female,4.10,0.71
"Nimeku-save as draft, because perfection takes time.",smooth,mixed,response,middle,female,4.40,0.75
"Kama ni kukosa jiko, ningeku-cook with love.",cheesy,kenyan,opening,initial,female,3.40,0.56
"Wewe ni kama Kilimanjaro - breathtaking view.",romantic,kenyan,compliment,initial,female,4.80,0.80
"Nimeku-archive the rest, you're the only one I need.",romantic,mixed,response,advanced,female,4.60,0.77
"Sema ukinitaka ni-kujoin group ya wewe na mimi.",direct,sheng,opening,initial,female,4.00,0.66
"Wapi nimekosea? Maana nimekosa mwezi mzima.",playful,swahili,opening,initial,female,4.20,0.70
"Unajua hata simu inakata, lakini mazungumzo yetu hayakati.",romantic,swahili,followup,middle,neutral,4.50,0.76
"Kama ni kukosa simu, ningekupa yangu with unlimited minutes.",cheesy,kenyan,opening,initial,female,3.30,0.55
"Wewe ni kama satellite - you make my world go round.",smooth,mixed,compliment,initial,female,4.30,0.73
"Nimeku-block distractions, you're my main focus.",romantic,mixed,response,advanced,female,4.70,0.78
"Ukinitaka niku-backup, because losing you isn't an option.",romantic,mixed,followup,advanced,female,4.60,0.77
"Wewe ni kama solar panel - unanipa power.",smooth,kenyan,compliment,initial,female,4.20,0.71
"Nimeku-silence notifications, your voice is all I want.",romantic,mixed,response,advanced,female,4.80,0.81
"Sema nikikupa number yangu, uta-i-save kwa nani?",playful,sheng,opening,initial,female,4.10,0.68
"Unajua hata darasa lingine, but mimi niko kwa class yako.",clever,sheng,response,middle,female,4.30,0.72
"Kama ni kukosa baiskeli, ningekuchukua piggy-back.",cheesy,kenyan,opening,initial,female,3.20,0.54
"Wewe ni kama generator - unaninipa light giza.",smooth,kenyan,compliment,initial,female,4.10,0.70
"Nimeku-close other tabs, you're my homepage.",romantic,mixed,response,advanced,female,4.60,0.78
"Ukinitaka niku-cache, for faster access always.",playful,mixed,followup,middle,female,4.00,0.67
"Wewe ni kama emergency exit - you show me the way.",smooth,mixed,compliment,initial,female,4.20,0.71
"Nimeku-minimize everything else, you're my main window.",romantic,mixed,response,advanced,female,4.70,0.79
"Sema nikikupigia, uta-jibu ama uta-forward?",playful,sheng,opening,initial,female,4.00,0.65
"Unajua hata kama ni fake account, bado ningeku-follow.",bold,sheng,response,middle,female,3.90,0.64
"Kama ni kukosa dawa, ningeku-treat with care.",cheesy,kenyan,opening,initial,female,3.10,0.53
"Wewe ni kama calculator - you solve my problems.",smooth,mixed,compliment,initial,female,4.00,0.69
"Nimeku-book for next year, because you're worth waiting for.",romantic,mixed,response,advanced,female,4.80,0.82
"Are you a parking ticket? Because you have FINE written all over you.",cheesy,international,opening,initial,female,3.50,0.50
"If you were a triangle you'd be acute one.",clever,international,opening,initial,female,4.00,0.60
"Is your name Google? Because you have everything I'm searching for.",cheesy,international,opening,initial,female,3.80,0.55
"Are you made of copper and tellurium? Because you're Cu-Te.",clever,international,opening,initial,female,4.10,0.58
"Do you have a map? I keep getting lost in your eyes.",cheesy,international,opening,initial,female,3.20,0.45
"Is your dad a boxer? Because you're a knockout!",cheesy,international,opening,initial,female,3.00,0.40
"Are you French? Because Eiffel for you.",clever,international,opening,initial,female,4.20,0.62
"Do you like Star Wars? Because Yoda one for me!",funny,international,opening,initial,neutral,3.90,0.65
"Are you a time traveler? Because I see you in my future.",romantic,international,opening,initial,female,4.50,0.70
"Is your name Wi-fi? Because I'm really feeling a connection.",cheesy,international,opening,initial,female,3.60,0.50
"Do you believe in love at first sight, or should I walk by again?",playful,international,opening,initial,female,4.30,0.68
"Are you a bank loan? Because you have my interest.",clever,international,opening,initial,female,4.00,0.60
"Is there an airport nearby or is that just my heart taking off?",cheesy,international,opening,initial,female,3.10,0.42
"Do you have a Band-Aid? I just scraped my knee falling for you.",cheesy,international,opening,initial,female,3.30,0.44
"Are you a campfire? Because you're hot and I want s'more.",cheesy,international,opening,initial,female,3.40,0.46
"Is your dad an artist? Because you're a masterpiece.",smooth,international,compliment,initial,female,4.40,0.72
"Do you have a pencil? Because I want to erase your past and write our future.",romantic,international,opening,initial,female,4.60,0.75
"Are you a camera? Because every time I look at you, I smile.",cheesy,international,opening,initial,female,3.50,0.48
"Is your name Chapstick? Because you're da balm!",funny,international,opening,initial,neutral,3.80,0.63
"Do you like raisins? How do you feel about a date?",clever,international,opening,initial,female,4.10,0.64
"Are you a magician? Because whenever I look at you, everyone else disappears.",romantic,international,opening,initial,female,4.70,0.78
"Is this the Hogwarts Express? Because it feels like you and I are headed somewhere magical.",clever,international,opening,initial,neutral,4.30,0.70
"Do you have a sunburn, or are you always this hot?",cheesy,international,opening,initial,female,2.90,0.38
"Are you a parking ticket? 'Cause you've got fine written all over you.",cheesy,international,opening,initial,female,3.20,0.41
"Is your dad a baker? Because you're a cutie pie!",cheesy,international,opening,initial,female,3.00,0.39
"Do you have a mirror in your pocket? Because I can see myself in your pants.",bold,international,opening,initial,female,2.50,0.30
"Are you an alien? Because you just abducted my heart.",cheesy,international,opening,initial,female,3.40,0.45
"Is your name Cinderella? Because I see that dress disappearing at midnight.",bold,international,opening,initial,female,2.80,0.35
"Do you believe in fate? Because I think we were meant to meet.",romantic,international,opening,initial,female,4.50,0.74
"Are you a loan? Because you have my interest.",clever,international,opening,initial,female,4.00,0.62
"I'm not a photographer, but I can picture us together.",smooth,international,opening,initial,female,4.20,0.68
"Do you have a name or can I call you mine?",smooth,international,opening,initial,female,4.30,0.70
"I was wondering if you had an extra heart, because mine was just stolen.",romantic,international,opening,initial,female,4.60,0.76
"If beauty were time, you'd be eternity.",romantic,international,compliment,initial,female,4.80,0.82
"You must be a magician because every time I look at you, everyone else disappears.",romantic,international,compliment,initial,female,4.70,0.80
"I'm not usually this forward, but I had to meet you.",direct,international,opening,initial,female,4.40,0.72
"If I could rearrange the alphabet, I'd put U and I together.",cheesy,international,opening,initial,female,3.90,0.60
"You're like a dream I never want to wake up from.",romantic,international,compliment,initial,female,4.90,0.85
"I think my heart just skipped a beat when you smiled.",romantic,international,response,initial,female,4.50,0.78
"You're the reason I believe in love at first sight.",romantic,international,compliment,initial,female,4.70,0.81
"I don't need to see the stars when I can look at your eyes.",romantic,international,compliment,initial,female,4.80,0.83
"You make my heart smile.",romantic,international,compliment,initial,neutral,4.60,0.79
"I was going to say something clever, but you left me speechless.",smooth,international,opening,initial,female,4.30,0.71
"You're more beautiful than the most perfect sunset.",romantic,international,compliment,initial,female,4.70,0.80
"I think you're the missing piece I've been searching for.",romantic,international,opening,initial,neutral,4.50,0.77
"Your smile is brighter than the sun.",romantic,international,compliment,initial,female,4.40,0.75
"I didn't believe in destiny until now.",romantic,international,opening,initial,female,4.60,0.79
"You're the best thing that's happened to me all day.",smooth,international,response,initial,neutral,4.20,0.70
"I feel like I've known you forever, even though we just met.",romantic,international,opening,initial,neutral,4.50,0.76
"You're the answer to every prayer I never prayed.",romantic,international,compliment,initial,female,4.90,0.86
